"crn"	"subject"	"num"	"description"	"section"	"type"	"credits"	"start"	"end"	"days"	"where"	"schedule"	"instructor"
"21663"	"Elementary Education"	"EED 509"	"Advanced Twenty-First Century Teaching and Learning"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"TBA"	"Online (asynchronous)"	"Christi Gann Trucks, Linda A. Mitchell"
"21666"	"Elementary Education"	"EED 522"	"Classroom Assessment for Learning"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"TBA"	"Online (asynchronous)"	"Michael R Alvidrez, Linda A. Mitchell"
"21667"	"Elementary Education"	"EED 522"	"Classroom Assessment for Learning"	"002"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"TBA"	"Online (asynchronous)"	"Michael R Alvidrez, Linda A. Mitchell"
"22588"	"Elementary Education"	"EED 522"	"Classroom Assessment for Learning"	"003"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"TBA"	"Online (asynchronous)"	"Michael R Alvidrez, Christie F Calhoun"
"21668"	"Elementary Education"	"EED 530"	"Methods for Language and Literacy Development"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"TBA"	"Online (asynchronous)"	"TBA"
"21669"	"Elementary Education"	"EED 549"	"Teachers as Leaders in the Elementary Classroom"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"TBA"	"Online (asynchronous)"	"Kyoko Maeno Johns, Linda A. Mitchell"
"21670"	"Elementary Education"	"EED 550"	"Diversity in Today's Classroom"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"TBA"	"Online (asynchronous)"	"Kyoko Maeno Johns, Linda A. Mitchell"
"21671"	"Elementary Education"	"EED 554"	"Integrating STEM and STEAM Into Practice"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"TBA"	"Online (asynchronous)"	"Jennifer Troncale, Linda A. Mitchell"
"22561"	"Elementary Education"	"EED 554"	"Integrating STEM and STEAM Into Practice"	"002"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"TBA"	"Online (asynchronous)"	"Jennifer Troncale, Linda A. Mitchell"
"22195"	"Elementary Education"	"EED 620"	"Mathematical Pedagogy for Elementary Teachers"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"TBA"	"Online (asynchronous)"	"TBA"
"22196"	"Elementary Education"	"EED 623"	"Trends and Issues in STEM Education"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"TBA"	"Online (asynchronous)"	"Kyoko Maeno Johns, Linda A. Mitchell"
"22242"	"Educational Foundations"	"EFD 500"	"Research in Education"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"TBA"	"Online (asynchronous)"	"Sheila Anne Webb, Kimberly Suress Gaiters-White"
"22244"	"Educational Foundations"	"EFD 500"	"Research in Education"	"002"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"TBA"	"Online (asynchronous)"	"Sheila Anne Webb, Kimberly Suress Gaiters-White"
"22245"	"Educational Foundations"	"EFD 500"	"Research in Education"	"003"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"TBA"	"Online (asynchronous)"	"Sheila Anne Webb, Kimberly Suress Gaiters-White"
"21066"	"Educational Foundations"	"EFD 502"	"Curriculum Development"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"TBA"	"Online (asynchronous)"	"David Scott, Kimberly Suress Gaiters-White"
"23173"	"Educational Foundations"	"EFD 531"	"Philosophy of Education"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"TBA"	"Online (asynchronous)"	"Sheila Anne Webb, Kimberly Suress Gaiters-White"
"20894"	"Educational Foundations"	"EFD 552"	"Diversity Issues in Education"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"TBA"	"Online (asynchronous)"	"Jimmy Barnes, Christi Gann Trucks"
"22247"	"Educational Foundations"	"EFD 560"	"Psychological Principles of Learning"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"TBA"	"Online (asynchronous)"	"Sheila Anne Webb, Kimberly Suress Gaiters-White"
"21067"	"Educational Foundations"	"EFD 615"	"Leadership in Education"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"TBA"	"Online (asynchronous)"	"Kimberly Warfield, Kimberly Suress Gaiters-White"
"21068"	"Educational Foundations"	"EFD 620"	"Measurement and Evaluation in Education"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"TBA"	"Online (asynchronous)"	"Stacey Pernell Gill, Kimberly Suress Gaiters-White"
"21069"	"Educational Foundations"	"EFD 645"	"Contemporary Challenges in Multicultural Education"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"TBA"	"Online (asynchronous)"	"Kimberly Warfield, Kimberly Suress Gaiters-White"
"21070"	"Educational Foundations"	"EFD 670"	"Facilitating Quality Instruction in Mathematics with Colleagues"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"TBA"	"Online (asynchronous)"	"Cory Shawn O'Neal, Kimberly Suress Gaiters-White"
"23182"	"Educational Foundations"	"EFD 672"	"Facilitating Quality Instruction in Literacy with Colleagues"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"TBA"	"Online (asynchronous)"	"TBA"
"21071"	"Educational Foundations"	"EFD 691"	"Advanced Research in Education I"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"TBA"	"Online (asynchronous)"	"Stacey Pernell Gill, Kimberly Suress Gaiters-White"
"21204"	"Educational Foundations"	"EFD 691"	"Advanced Research in Education I"	"002"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"Margaret J Pope, Regina D Moses"
"21205"	"Educational Foundations"	"EFD 692"	"Advanced Research in Education II"	"002"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"Margaret J Pope, Regina D Moses"
"22555"	"Educational Foundations"	"EFD 700"	"Philosophy of Education"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"TBA"	"Online (asynchronous)"	"TBA"
"22556"	"Educational Foundations"	"EFD 701"	"Educational Inquiry"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"TBA"	"Online (asynchronous)"	"TBA"
"21896"	"English"	"EH 101"	"English Composition I"	"001"	"BL1"	"3"	"08:45:00"	"09:45:00"	"MWF"	"TBA"	"Hybrid (mostly on-campus)"	"Rashad Ahmed"
"21897"	"English"	"EH 101"	"English Composition I"	"002"	"BL1"	"3"	"10:00:00"	"11:00:00"	"MWF"	"TBA"	"Hybrid (mostly on-campus)"	"Rashad Ahmed"
"21898"	"English"	"EH 101"	"English Composition I"	"003"	"BL1"	"3"	"12:30:00"	"13:30:00"	"MWF"	"TBA"	"Hybrid (mostly on-campus)"	"TBA"
"21901"	"English"	"EH 101"	"English Composition I"	"004"	"BL1"	"3"	"13:45:00"	"15:15:00"	"MW"	"TBA"	"Hybrid (mostly on-campus)"	"TBA"
"21906"	"English"	"EH 101"	"English Composition I"	"005"	"LEC"	"3"	"09:15:00"	"10:45:00"	"TR"	"TBA"	"In-Person Instruction"	"TBA"
"21908"	"English"	"EH 101"	"English Composition I"	"006"	"LEC"	"3"	"11:00:00"	"12:30:00"	"TR"	"TBA"	"In-Person Instruction"	"Ashley Rattner"
"21910"	"English"	"EH 101"	"English Composition I"	"008"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"TBA"
"22355"	"English"	"EH 101"	"English Composition I"	"201"	"LEC"	"3"	"00:00:00"	"00:00:00"	"TBA"	"Cedar Bluff High School"	"In-Person Instruction"	"Steve Bishop, Andrea J Porter"
"22454"	"English"	"EH 101"	"English Composition I"	"007"	"LEC"	"3"	"12:45:00"	"14:15:00"	"TR"	"TBA"	"In-Person Instruction"	"TBA"
"22972"	"English"	"EH 101"	"English Composition I"	"012"	"LEC"	"3"	"14:30:00"	"16:00:00"	"TR"	"TBA"	"In-Person Instruction"	"Ashley Rattner"
"21918"	"English"	"EH 102"	"English Composition II"	"001"	"LEC"	"3"	"08:45:00"	"09:45:00"	"MWF"	"TBA"	"In-Person Instruction"	"Julia A Tigner"
"21921"	"English"	"EH 102"	"English Composition II"	"002"	"BL1"	"3"	"08:45:00"	"09:45:00"	"MWF"	"TBA"	"Hybrid (mostly on-campus)"	"Katherine Cain Johnson"
"21922"	"English"	"EH 102"	"English Composition II"	"003"	"LEC"	"3"	"08:45:00"	"09:45:00"	"MWF"	"TBA"	"In-Person Instruction"	"Christopher Charles Douglas"
"21923"	"English"	"EH 102"	"English Composition II"	"004"	"LEC"	"3"	"10:00:00"	"11:00:00"	"MWF"	"TBA"	"In-Person Instruction"	"Julia A Tigner"
"21925"	"English"	"EH 102"	"English Composition II"	"005"	"LEC"	"3"	"10:00:00"	"11:00:00"	"MWF"	"TBA"	"In-Person Instruction"	"Christopher Charles Douglas"
"21926"	"English"	"EH 102"	"English Composition II"	"006"	"BL1"	"3"	"11:15:00"	"12:15:00"	"MWF"	"TBA"	"Hybrid (mostly on-campus)"	"Katherine Cain Johnson"
"21931"	"English"	"EH 102"	"English Composition II"	"007"	"LEC"	"3"	"11:15:00"	"12:15:00"	"MWF"	"TBA"	"In-Person Instruction"	"Tanya Trammell Sasser"
"21934"	"English"	"EH 102"	"English Composition II"	"008"	"LEC"	"3"	"12:30:00"	"13:30:00"	"MWF"	"TBA"	"In-Person Instruction"	"Tanya Trammell Sasser"
"21936"	"English"	"EH 102"	"English Composition II"	"009"	"BL1"	"3"	"12:30:00"	"13:30:00"	"MWF"	"TBA"	"Hybrid (mostly on-campus)"	"Larry A Gray"
"21937"	"English"	"EH 102"	"English Composition II"	"010"	"BL1"	"3"	"12:30:00"	"13:30:00"	"MWF"	"TBA"	"Hybrid (mostly on-campus)"	"Thayer Dortch Truss"
"21939"	"English"	"EH 102"	"English Composition II"	"011"	"BL1"	"3"	"13:45:00"	"15:15:00"	"MW"	"TBA"	"Hybrid (mostly on-campus)"	"Larry A Gray"
"21941"	"English"	"EH 102"	"English Composition II"	"012"	"BL1"	"3"	"13:45:00"	"15:15:00"	"MW"	"TBA"	"Hybrid (mostly on-campus)"	"Thayer Dortch Truss"
"21942"	"English"	"EH 102"	"English Composition II"	"013"	"LEC"	"3"	"13:45:00"	"15:15:00"	"MW"	"TBA"	"In-Person Instruction"	"TBA"
"21943"	"English"	"EH 102"	"English Composition II"	"014"	"LEC"	"3"	"09:15:00"	"10:45:00"	"TR"	"TBA"	"In-Person Instruction"	"Gabriel Royce Lonsberry"
"21944"	"English"	"EH 102"	"English Composition II"	"015"	"LEC"	"3"	"09:15:00"	"10:45:00"	"TR"	"TBA"	"In-Person Instruction"	"Don S Bennett"
"21945"	"English"	"EH 102"	"English Composition II"	"016"	"LEC"	"3"	"09:15:00"	"10:45:00"	"TR"	"TBA"	"In-Person Instruction"	"Randall C Davis"
"21946"	"English"	"EH 102"	"English Composition II"	"017"	"LEC"	"3"	"11:00:00"	"12:30:00"	"TR"	"TBA"	"In-Person Instruction"	"Gabriel Royce Lonsberry"
"21947"	"English"	"EH 102"	"English Composition II"	"018"	"LEC"	"3"	"11:00:00"	"12:30:00"	"TR"	"TBA"	"In-Person Instruction"	"Don S Bennett"
"21948"	"English"	"EH 102"	"English Composition II"	"019"	"LEC"	"3"	"12:45:00"	"14:15:00"	"TR"	"TBA"	"In-Person Instruction"	"April Dawn Mattox"
"21949"	"English"	"EH 102"	"English Composition II"	"020"	"BL1"	"3"	"12:45:00"	"14:15:00"	"TR"	"TBA"	"Hybrid (mostly on-campus)"	"Marija Reiff"
"21950"	"English"	"EH 102"	"English Composition II"	"022"	"BL1"	"3"	"14:30:00"	"16:00:00"	"TR"	"TBA"	"Hybrid (mostly on-campus)"	"Marija Reiff"
"21952"	"English"	"EH 102"	"English Composition II"	"023"	"LEC"	"3"	"14:30:00"	"16:00:00"	"TR"	"TBA"	"In-Person Instruction"	"TBA"
"21953"	"English"	"EH 102"	"English Composition II"	"025"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"TBA"
"22326"	"English"	"EH 102"	"English Composition II"	"201"	"LEC"	"3"	"00:00:00"	"00:00:00"	"TBA"	"Cleburne County High School"	"In-Person Instruction"	"Christy M Ader, Andrea J Porter"
"22327"	"English"	"EH 102"	"English Composition II"	"202"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"Jennifer H Baker, Andrea J Porter"
"22328"	"English"	"EH 102"	"English Composition II"	"203"	"LEC"	"3"	"00:00:00"	"00:00:00"	"TBA"	"Central Clay High School"	"In-Person Instruction"	"Jessika Hill Crawford, Andrea J Porter"
"22329"	"English"	"EH 102"	"English Composition II"	"204"	"LEC"	"3"	"00:00:00"	"00:00:00"	"TBA"	"Donoho High School"	"In-Person Instruction"	"Kady Lei Curvin, Andrea J Porter"
"22330"	"English"	"EH 102"	"English Composition II"	"205"	"LEC"	"3"	"00:00:00"	"00:00:00"	"TBA"	"Ohatchee High School"	"In-Person Instruction"	"Lindsay Ford, Andrea J Porter"
"22332"	"English"	"EH 102"	"English Composition II"	"207"	"LEC"	"3"	"00:00:00"	"00:00:00"	"TBA"	"Oxford High School"	"In-Person Instruction"	"Megan Marie Marcotte-Boozer, Andrea J Porter"
"22333"	"English"	"EH 102"	"English Composition II"	"208"	"LEC"	"3"	"00:00:00"	"00:00:00"	"TBA"	"Oxford High School"	"In-Person Instruction"	"Megan Marie Marcotte-Boozer, Andrea J Porter"
"22334"	"English"	"EH 102"	"English Composition II"	"209"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"Julia Stevens Hill, Andrea J Porter"
"22335"	"English"	"EH 102"	"English Composition II"	"210"	"LEC"	"3"	"00:00:00"	"00:00:00"	"TBA"	"Pleasant Valley High School"	"In-Person Instruction"	"Kelli Reese Lloyd, Andrea J Porter"
"22336"	"English"	"EH 102"	"English Composition II"	"211"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"Kelli Reese Lloyd, Andrea J Porter"
"22338"	"English"	"EH 102"	"English Composition II"	"215"	"LEC"	"3"	"00:00:00"	"00:00:00"	"TBA"	"Lincoln High School"	"In-Person Instruction"	"Randi Woodward Morrow, Andrea J Porter"
"22339"	"English"	"EH 102"	"English Composition II"	"216"	"LEC"	"3"	"00:00:00"	"00:00:00"	"TBA"	"Alexandria High School"	"In-Person Instruction"	"Charles David Hoffman, Andrea J Porter"
"22340"	"English"	"EH 102"	"English Composition II"	"217"	"LEC"	"3"	"00:00:00"	"00:00:00"	"TBA"	"Anniston High School"	"In-Person Instruction"	"Kyle H Shelton, Andrea J Porter"
"22455"	"English"	"EH 102"	"English Composition II"	"021"	"LEC"	"3"	"14:30:00"	"16:00:00"	"TR"	"TBA"	"In-Person Instruction"	"April Dawn Mattox"
"22456"	"English"	"EH 102"	"English Composition II"	"024"	"LEC"	"3"	"11:00:00"	"12:30:00"	"TR"	"TBA"	"In-Person Instruction"	"Randall C Davis"
"22939"	"English"	"EH 102"	"English Composition II"	"206"	"LEC"	"3"	"00:00:00"	"00:00:00"	"TBA"	"Weaver High School"	"In-Person Instruction"	"Davita Harris Brown"
"22940"	"English"	"EH 102"	"English Composition II"	"214"	"LEC"	"3"	"00:00:00"	"00:00:00"	"TBA"	"Piedmont High School"	"In-Person Instruction"	"Riley R Jones, Andrea J Porter"
"22941"	"English"	"EH 102"	"English Composition II"	"218"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"Ashley Marie Gaither, Andrea J Porter"
"22974"	"English"	"EH 102"	"English Composition II"	"031"	"LEC"	"3"	"11:15:00"	"12:15:00"	"MWF"	"TBA"	"In-Person Instruction"	"TBA"
"21966"	"English"	"EH 104"	"Honors English Composition II"	"001"	"BL1"	"3"	"11:15:00"	"12:15:00"	"MWF"	"TBA"	"Hybrid (mostly on-campus)"	"Raina Kostova"
"21968"	"English"	"EH 104"	"Honors English Composition II"	"002"	"LEC"	"3"	"12:45:00"	"14:15:00"	"TR"	"TBA"	"In-Person Instruction"	"Teresa P Reed"
"21969"	"English"	"EH 105"	"Enhanced English Composition I"	"001"	"LEC"	"3"	"08:45:00"	"09:45:00"	"MWF"	"TBA"	"In-Person Instruction"	"Mysti Michelle Nichols"
"21971"	"English"	"EH 105"	"Enhanced English Composition I"	"002"	"LEC"	"3"	"10:00:00"	"11:00:00"	"MWF"	"TBA"	"In-Person Instruction"	"Mysti Michelle Nichols"
"21973"	"English"	"EH 105"	"Enhanced English Composition I"	"003"	"LEC"	"3"	"11:15:00"	"12:15:00"	"MWF"	"TBA"	"In-Person Instruction"	"TBA"
"21984"	"English"	"EH 105"	"Enhanced English Composition I"	"004"	"LEC"	"3"	"12:30:00"	"13:30:00"	"MWF"	"TBA"	"In-Person Instruction"	"TBA"
"21990"	"English"	"EH 105"	"Enhanced English Composition I"	"007"	"LEC"	"3"	"09:15:00"	"10:45:00"	"TR"	"TBA"	"In-Person Instruction"	"Susan Ashley Dean"
"22067"	"English"	"EH 105"	"Enhanced English Composition I"	"008"	"LEC"	"3"	"11:00:00"	"12:30:00"	"TR"	"TBA"	"In-Person Instruction"	"Susan Ashley Dean"
"22076"	"English"	"EH 105"	"Enhanced English Composition I"	"009"	"LEC"	"3"	"12:45:00"	"14:15:00"	"TR"	"TBA"	"In-Person Instruction"	"Timothy William Lockette"
"22080"	"English"	"EH 105"	"Enhanced English Composition I"	"010"	"LEC"	"3"	"14:30:00"	"16:00:00"	"TR"	"TBA"	"In-Person Instruction"	"Timothy William Lockette"
"22093"	"English"	"EH 105"	"Enhanced English Composition I"	"012"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"Jennifer Ferrell Ponder"
"23087"	"English"	"EH 105"	"Enhanced English Composition I"	"100"	"LEC"	"3"	"09:15:00"	"10:45:00"	"TR"	"Houston Cole Library B19"	"In-Person Instruction"	"Natalie Kate Freeman"
"21744"	"English"	"EH 106"	"Enhanced English Composition II"	"100"	"LEC"	"3"	"12:45:00"	"14:15:00"	"TR"	"TBA"	"In-Person Instruction"	"Natalie Kate Freeman"
"21745"	"English"	"EH 106"	"Enhanced English Composition II"	"101"	"LEC"	"3"	"14:30:00"	"16:00:00"	"TR"	"TBA"	"In-Person Instruction"	"Natalie Kate Freeman"
"22105"	"English"	"EH 106"	"Enhanced English Composition II"	"001"	"LEC"	"3"	"08:45:00"	"09:45:00"	"MWF"	"TBA"	"In-Person Instruction"	"Khadeidra N Billingsley"
"22114"	"English"	"EH 106"	"Enhanced English Composition II"	"003"	"LEC"	"3"	"10:00:00"	"11:00:00"	"MWF"	"TBA"	"In-Person Instruction"	"Khadeidra N Billingsley"
"22122"	"English"	"EH 106"	"Enhanced English Composition II"	"005"	"LEC"	"3"	"11:15:00"	"12:15:00"	"MWF"	"TBA"	"In-Person Instruction"	"TBA"
"22126"	"English"	"EH 106"	"Enhanced English Composition II"	"007"	"LEC"	"3"	"12:30:00"	"13:30:00"	"MWF"	"TBA"	"In-Person Instruction"	"TBA"
"22130"	"English"	"EH 106"	"Enhanced English Composition II"	"008"	"LEC"	"3"	"13:45:00"	"15:15:00"	"MW"	"TBA"	"In-Person Instruction"	"TBA"
"22132"	"English"	"EH 106"	"Enhanced English Composition II"	"009"	"LEC"	"3"	"09:15:00"	"10:45:00"	"TR"	"TBA"	"In-Person Instruction"	"Christy Lynn Burns"
"22141"	"English"	"EH 106"	"Enhanced English Composition II"	"011"	"LEC"	"3"	"11:00:00"	"12:30:00"	"TR"	"TBA"	"In-Person Instruction"	"Christy Lynn Burns"
"22146"	"English"	"EH 106"	"Enhanced English Composition II"	"013"	"LEC"	"3"	"12:45:00"	"14:15:00"	"TR"	"TBA"	"In-Person Instruction"	"Jennie Lee Vaughn"
"22149"	"English"	"EH 106"	"Enhanced English Composition II"	"014"	"LEC"	"3"	"14:30:00"	"16:00:00"	"TR"	"TBA"	"In-Person Instruction"	"Jennie Lee Vaughn"
"22151"	"English"	"EH 106"	"Enhanced English Composition II"	"015"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"Jennifer Ferrell Ponder"
"21970"	"English"	"EH 115"	"Writing Studio I"	"001"	"STU"	"0"	"00:00:00"	"00:00:00"	"TBA"	"TBA"	"Studio"	"Mysti Michelle Nichols"
"21972"	"English"	"EH 115"	"Writing Studio I"	"002"	"STU"	"0"	"00:00:00"	"00:00:00"	"TBA"	"TBA"	"Studio"	"Mysti Michelle Nichols"
"21974"	"English"	"EH 115"	"Writing Studio I"	"003"	"STU"	"0"	"00:00:00"	"00:00:00"	"TBA"	"TBA"	"Studio"	"TBA"
"21985"	"English"	"EH 115"	"Writing Studio I"	"004"	"STU"	"0"	"00:00:00"	"00:00:00"	"TBA"	"TBA"	"Studio"	"TBA"
"21991"	"English"	"EH 115"	"Writing Studio I"	"007"	"STU"	"0"	"00:00:00"	"00:00:00"	"TBA"	"TBA"	"Studio"	"Susan Ashley Dean"
"22072"	"English"	"EH 115"	"Writing Studio I"	"008"	"STU"	"0"	"00:00:00"	"00:00:00"	"TBA"	"TBA"	"Studio"	"Susan Ashley Dean"
"22078"	"English"	"EH 115"	"Writing Studio I"	"009"	"STU"	"0"	"00:00:00"	"00:00:00"	"TBA"	"TBA"	"Studio"	"Timothy William Lockette"
"22083"	"English"	"EH 115"	"Writing Studio I"	"010"	"STU"	"0"	"00:00:00"	"00:00:00"	"TBA"	"TBA"	"Studio"	"Timothy William Lockette"
"22097"	"English"	"EH 115"	"Writing Studio I"	"012"	"STU"	"0"	"00:00:00"	"00:00:00"	"TBA"	"Online"	"Studio"	"Jennifer Ferrell Ponder"
"23090"	"English"	"EH 115"	"Writing Studio I"	"100"	"STU"	"0"	"08:45:00"	"09:45:00"	"MW"	"Houston Cole Library B19"	"Studio"	"Natalie Kate Freeman"
"21753"	"English"	"EH 116"	"Writing Studio II"	"100"	"STU"	"0"	"12:30:00"	"13:30:00"	"MW"	"TBA"	"Studio"	"Natalie Kate Freeman"
"21754"	"English"	"EH 116"	"Writing Studio II"	"101"	"STU"	"0"	"13:45:00"	"14:45:00"	"MW"	"TBA"	"Studio"	"Natalie Kate Freeman"
"22108"	"English"	"EH 116"	"Writing Studio II"	"001"	"STU"	"0"	"00:00:00"	"00:00:00"	"TBA"	"TBA"	"Studio"	"Khadeidra N Billingsley"
"22116"	"English"	"EH 116"	"Writing Studio II"	"003"	"STU"	"0"	"00:00:00"	"00:00:00"	"TBA"	"TBA"	"Studio"	"Khadeidra N Billingsley"
"22123"	"English"	"EH 116"	"Writing Studio II"	"005"	"STU"	"0"	"00:00:00"	"00:00:00"	"TBA"	"TBA"	"Studio"	"TBA"
"22127"	"English"	"EH 116"	"Writing Studio II"	"007"	"STU"	"0"	"00:00:00"	"00:00:00"	"TBA"	"TBA"	"Studio"	"TBA"
"22131"	"English"	"EH 116"	"Writing Studio II"	"008"	"STU"	"0"	"00:00:00"	"00:00:00"	"TBA"	"TBA"	"Studio"	"TBA"
"22133"	"English"	"EH 116"	"Writing Studio II"	"009"	"STU"	"0"	"00:00:00"	"00:00:00"	"TBA"	"TBA"	"Studio"	"Christy Lynn Burns"
"22142"	"English"	"EH 116"	"Writing Studio II"	"011"	"STU"	"0"	"00:00:00"	"00:00:00"	"TBA"	"TBA"	"Studio"	"Christy Lynn Burns"
"22147"	"English"	"EH 116"	"Writing Studio II"	"013"	"STU"	"0"	"00:00:00"	"00:00:00"	"TBA"	"TBA"	"Studio"	"Jennie Lee Vaughn"
"22150"	"English"	"EH 116"	"Writing Studio II"	"014"	"STU"	"0"	"00:00:00"	"00:00:00"	"TBA"	"TBA"	"Studio"	"Jennie Lee Vaughn"
"22152"	"English"	"EH 116"	"Writing Studio II"	"015"	"STU"	"0"	"00:00:00"	"00:00:00"	"TBA"	"Online"	"Studio"	"Jennifer Ferrell Ponder"
"22155"	"English"	"EH 141"	"Speech"	"001"	"BL1"	"3"	"08:45:00"	"09:45:00"	"MWF"	"TBA"	"Hybrid (mostly on-campus)"	"Don S Bennett"
"22156"	"English"	"EH 141"	"Speech"	"002"	"BL1"	"3"	"08:45:00"	"09:45:00"	"MWF"	"TBA"	"Hybrid (mostly on-campus)"	"Rodney A Bailey"
"22157"	"English"	"EH 141"	"Speech"	"003"	"BL1"	"3"	"10:00:00"	"11:00:00"	"MWF"	"TBA"	"Hybrid (mostly on-campus)"	"Don S Bennett"
"22158"	"English"	"EH 141"	"Speech"	"004"	"BL2"	"3"	"00:00:00"	"00:00:00"	""	"TBA"	"Hybrid (mostly online)"	"Susan Ashley Dean"
"22159"	"English"	"EH 141"	"Speech"	"005"	"BL2"	"3"	"00:00:00"	"00:00:00"	""	"TBA"	"Hybrid (mostly online)"	"Susan Ashley Dean"
"22160"	"English"	"EH 141"	"Speech"	"006"	"BL1"	"3"	"12:30:00"	"13:30:00"	"MWF"	"TBA"	"Hybrid (mostly on-campus)"	"Rashad Ahmed"
"22161"	"English"	"EH 141"	"Speech"	"007"	"BL1"	"3"	"13:45:00"	"15:15:00"	"MW"	"TBA"	"Hybrid (mostly on-campus)"	"TBA"
"22162"	"English"	"EH 141"	"Speech"	"008"	"BL1"	"3"	"11:00:00"	"12:30:00"	"TR"	"TBA"	"Hybrid (mostly on-campus)"	"TBA"
"22163"	"English"	"EH 141"	"Speech"	"009"	"BL1"	"3"	"09:15:00"	"10:45:00"	"TR"	"TBA"	"Hybrid (mostly on-campus)"	"Mysti Michelle Nichols"
"22164"	"English"	"EH 141"	"Speech"	"010"	"BL1"	"3"	"09:15:00"	"10:45:00"	"TR"	"TBA"	"Hybrid (mostly on-campus)"	"TBA"
"22167"	"English"	"EH 141"	"Speech"	"011"	"BL1"	"3"	"11:00:00"	"12:30:00"	"TR"	"TBA"	"Hybrid (mostly on-campus)"	"Katherine Cain Johnson"
"22168"	"English"	"EH 141"	"Speech"	"012"	"BL1"	"3"	"12:45:00"	"14:15:00"	"TR"	"TBA"	"Hybrid (mostly on-campus)"	"Mysti Michelle Nichols"
"22169"	"English"	"EH 141"	"Speech"	"013"	"BL1"	"3"	"12:45:00"	"14:15:00"	"TR"	"TBA"	"Hybrid (mostly on-campus)"	"TBA"
"22170"	"English"	"EH 141"	"Speech"	"014"	"BL1"	"3"	"14:30:00"	"16:00:00"	"TR"	"TBA"	"Hybrid (mostly on-campus)"	"Christy Lynn Burns"
"22171"	"English"	"EH 141"	"Speech"	"015"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"Jennifer Ferrell Ponder"
"22341"	"English"	"EH 141"	"Speech"	"201"	"LEC"	"3"	"00:00:00"	"00:00:00"	"TBA"	"Cleburne County High School"	"In-Person Instruction"	"Christy M Ader, Andrea J Porter"
"22342"	"English"	"EH 141"	"Speech"	"202"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"Christy M Ader, Andrea J Porter"
"22344"	"English"	"EH 141"	"Speech"	"203"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"Jennifer H Baker, Andrea J Porter"
"22345"	"English"	"EH 141"	"Speech"	"205"	"LEC"	"3"	"00:00:00"	"00:00:00"	"TBA"	"Oxford High School"	"In-Person Instruction"	"Megan Marie Marcotte-Boozer, Andrea J Porter"
"22347"	"English"	"EH 141"	"Speech"	"206"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"Kelli Reese Lloyd, Andrea J Porter"
